User;Type;Time
1;Friend;04/07/2017 15:25
1;Observation week;04/07/2017 15:29
1;Friend;04/07/2017 15:59
1;Observation week;04/07/2017 17:00
1;Observation week;04/07/2017 17:40
1;Observation week;04/07/2017 17:58
1;Observation week;04/07/2017 19:11
1;Observation week;04/07/2017 19:42
1;Observation week;05/07/2017 04:04
1;Observation week;05/07/2017 04:21
1;Observation week;05/07/2017 05:20
1;Observation week;05/07/2017 06:15
1;Observation week;05/07/2017 07:40
1;Observation week;05/07/2017 08:46
1;Observation week;05/07/2017 09:55
1;Observation week;05/07/2017 12:12
1;Observation week;05/07/2017 12:56
1;Observation week;05/07/2017 14:16
1;Observation week;05/07/2017 14:56
1;Friend;05/07/2017 15:22
1;Friend;05/07/2017 15:31
1;Friend;05/07/2017 15:46
1;Observation week;05/07/2017 18:10
1;Observation week;05/07/2017 18:39
1;Observation week;05/07/2017 19:11
1;Observation week;05/07/2017 19:52
1;Observation week;06/07/2017 03:29
1;Observation week;06/07/2017 05:19
1;Observation week;06/07/2017 06:34
1;Observation week;06/07/2017 08:03
1;Observation week;06/07/2017 08:54
1;Observation week;06/07/2017 10:12
1;Observation week;06/07/2017 11:12
1;Observation week;06/07/2017 12:22
1;Observation week;06/07/2017 13:08
1;Observation week;06/07/2017 14:47
1;Observation week;06/07/2017 15:38
1;Observation week;06/07/2017 16:45
1;Observation week;06/07/2017 17:25
1;Observation week;06/07/2017 17:53
1;Friend;06/07/2017 18:22
1;Observation week;06/07/2017 18:54
1;Observation week;06/07/2017 19:32
1;Observation week;06/07/2017 20:38
1;Observation week;07/07/2017 03:37
1;Observation week;07/07/2017 04:25
1;Observation week;07/07/2017 06:29
1;Observation week;07/07/2017 07:25
1;Observation week;07/07/2017 08:07
1;Observation week;07/07/2017 08:59
1;Observation week;07/07/2017 10:56
1;Observation week;07/07/2017 12:20
1;Observation week;07/07/2017 13:43
1;Observation week;07/07/2017 14:58
1;Friend;07/07/2017 15:28
1;Friend;07/07/2017 16:19
1;Observation week;07/07/2017 18:59
1;Observation week;07/07/2017 19:30
1;Observation week;07/07/2017 20:09
1;Observation week;07/07/2017 20:45
1;Observation week;08/07/2017 04:33
1;Observation week;08/07/2017 05:43
1;Observation week;08/07/2017 06:50
1;Observation week;08/07/2017 07:33
1;Observation week;08/07/2017 08:32
1;Observation week;08/07/2017 09:25
1;Observation week;08/07/2017 09:58
1;Observation week;08/07/2017 11:53
1;Observation week;08/07/2017 14:59
1;Observation week;08/07/2017 17:16
1;Observation week;08/07/2017 18:35
1;Observation week;08/07/2017 18:56
1;Observation week;08/07/2017 19:23
1;Observation week;08/07/2017 20:23
1;Observation week;08/07/2017 20:47
1;Observation week;09/07/2017 06:53
1;Observation week;09/07/2017 07:08
1;Observation week;09/07/2017 08:52
1;Observation week;09/07/2017 09:31
1;Observation week;09/07/2017 10:11
1;Observation week;09/07/2017 10:30
1;Observation week;09/07/2017 11:33
1;Observation week;09/07/2017 12:37
1;Observation week;09/07/2017 13:02
1;Observation week;09/07/2017 13:26
1;Observation week;09/07/2017 14:24
1;Observation week;09/07/2017 15:25
1;Observation week;09/07/2017 15:50
1;Observation week;09/07/2017 16:33
1;Observation week;09/07/2017 16:59
1;Observation week;09/07/2017 17:41
1;Observation week;09/07/2017 18:31
1;Observation week;09/07/2017 19:05
1;Observation week;09/07/2017 20:04
1;Observation week;10/07/2017 04:20
1;Observation week;10/07/2017 04:41
1;Observation week;10/07/2017 05:38
1;Observation week;10/07/2017 07:33
1;Observation week;10/07/2017 08:27
1;Observation week;10/07/2017 10:04
1;Observation week;10/07/2017 11:37
1;Observation week;10/07/2017 12:28
1;Observation week;10/07/2017 13:40
1;Observation week;10/07/2017 14:42
1;Observation week;10/07/2017 15:54
1;Observation week;10/07/2017 16:58
1;Observation week;10/07/2017 17:38
1;Observation week;10/07/2017 18:20
